frequency,sensitivity
354.0,-177.9
355.0,-177.9
356.0,-177.9
357.0,-177.9
358.0,-177.9
359.0,-177.9
360.0,-177.9
361.0,-177.9
362.0,-177.9
363.0,-177.9
364.0,-177.9
365.0,-177.9
366.0,-177.9
367.0,-177.9
368.0,-177.9
369.0,-177.9
370.0,-177.9
371.0,-177.9
372.0,-177.9
373.0,-177.9
374.0,-177.9
375.0,-177.9
376.0,-177.9
377.0,-177.9
378.0,-177.9
379.0,-177.9
380.0,-177.9
381.0,-177.9
382.0,-177.9
383.0,-177.9
384.0,-177.9
385.0,-177.9
386.0,-177.9
387.0,-177.9
388.0,-177.9
389.0,-177.9
390.0,-177.9
391.0,-177.9
392.0,-177.9
393.0,-177.9
394.0,-177.9
395.0,-177.9
396.0,-177.9
397.0,-177.9
398.0,-177.9
399.0,-177.9
400.0,-177.9
401.0,-177.9
402.0,-177.9
403.0,-177.9
404.0,-177.9
405.0,-177.9
406.0,-177.9
407.0,-177.9
408.0,-177.9
409.0,-177.9
410.0,-177.9
411.0,-177.9
412.0,-177.9
413.0,-177.9
414.0,-177.9
415.0,-177.9
416.0,-177.9
417.0,-177.9
418.0,-177.9
419.0,-177.9
420.0,-177.9
421.0,-177.9
422.0,-177.9
423.0,-177.9
424.0,-177.9
425.0,-177.9
426.0,-177.9
427.0,-177.9
428.0,-177.9
429.0,-177.9
430.0,-177.9
431.0,-177.9
432.0,-177.9
433.0,-177.9
434.0,-177.9
435.0,-177.9
436.0,-177.9
437.0,-177.9
438.0,-177.9
439.0,-177.9
440.0,-177.9
441.1,-177.9
442.1,-177.9
443.1,-177.9
444.1,-177.9
445.1,-177.9
446.2,-177.9
447.2,-177.9
448.2,-177.9
449.3,-177.9
450.3,-177.9
451.3,-177.9
452.4,-177.9
453.4,-177.9
454.5,-177.9
455.5,-177.9
456.6,-177.9
457.6,-177.9
458.7,-177.9
459.7,-177.9
460.8,-177.9
461.8,-177.9
462.9,-177.9
464.0,-177.9
465.1,-177.9
466.1,-177.9
467.2,-177.9
468.3,-177.9
469.4,-177.9
470.4,-177.9
471.5,-177.9
472.6,-177.9
473.7,-177.9
474.8,-177.9
475.9,-177.9
477.0,-177.9
478.1,-177.9
479.2,-177.9
480.3,-177.9
481.4,-177.9
482.5,-177.9
483.6,-177.9
484.7,-177.9
485.8,-177.9
487.0,-177.9
488.1,-177.9
489.2,-177.9
490.3,-177.9
491.5,-177.9
492.6,-177.9
493.7,-177.9
494.9,-177.9
496.0,-177.9
497.2,-177.9
498.3,-177.9
499.5,-177.9
500.6,-177.9
501.8,-177.9
502.9,-177.9
504.1,-177.9
505.2,-177.9
506.4,-177.9
507.6,-177.9
508.7,-177.9
509.9,-177.9
511.1,-177.9
512.3,-177.9
513.5,-177.9
514.6,-177.9
515.8,-177.9
517.0,-177.9
518.2,-177.9
519.4,-177.9
520.6,-177.9
521.8,-177.9
523.0,-177.9
524.2,-177.9
525.4,-177.9
526.6,-177.9
527.8,-177.9
529.1,-177.9
530.3,-177.9
531.5,-177.9
532.7,-177.9
533.9,-177.9
535.2,-177.9
536.4,-177.9
537.7,-177.9
538.9,-177.9
540.1,-177.9
541.4,-177.9
542.6,-177.9
543.9,-177.9
545.1,-177.9
546.4,-177.9
547.6,-177.9
548.9,-177.9
550.2,-177.9
551.4,-177.9
552.7,-177.9
554.0,-177.9
555.3,-177.9
556.5,-177.9
557.8,-177.9
559.1,-177.9
560.4,-177.9
561.7,-177.9
563.0,-177.9
564.3,-177.9
565.6,-177.9
566.9,-177.9
568.2,-177.9
569.5,-177.9
570.8,-177.9
572.1,-177.9
573.5,-177.9
574.8,-177.9
576.1,-177.9
577.4,-177.9
578.8,-177.9
580.1,-177.9
581.4,-177.9
582.8,-177.9
584.1,-177.9
585.5,-177.9
586.8,-177.9
588.2,-177.9
589.5,-177.9
590.9,-177.9
592.2,-177.9
593.6,-177.9
595.0,-177.9
596.3,-177.9
597.7,-177.9
599.1,-177.9
600.5,-177.9
601.9,-177.9
603.3,-177.9
604.6,-177.9
606.0,-177.9
607.4,-177.9
608.8,-177.9
610.2,-177.9
611.6,-177.9
613.1,-177.9
614.5,-177.9
615.9,-177.9
617.3,-177.9
618.7,-177.9
620.2,-177.9
621.6,-177.9
623.0,-177.9
624.5,-177.9
625.9,-177.9
627.3,-177.9
628.8,-177.9
630.2,-177.9
631.7,-177.9
633.1,-177.9
634.6,-177.9
636.1,-177.9
637.5,-177.9
639.0,-177.9
640.5,-177.9
641.9,-177.9
643.4,-177.9
644.9,-177.9
646.4,-177.9
647.9,-177.9
649.4,-177.9
650.9,-177.9
652.4,-177.9
653.9,-177.9
655.4,-177.9
656.9,-177.9
658.4,-177.9
659.9,-177.9
661.5,-177.9
663.0,-177.9
664.5,-177.9
666.0,-177.9
667.6,-177.9
669.1,-177.9
670.7,-177.9
672.2,-177.9
673.8,-177.9
675.3,-177.9
676.9,-177.9
678.4,-177.9
680.0,-177.9
681.6,-177.9
683.1,-177.9
684.7,-177.9
686.3,-177.9
687.9,-177.9
689.4,-177.9
691.0,-177.9
692.6,-177.9
694.2,-177.8
695.8,-177.8
697.4,-177.8
699.0,-177.8
700.6,-177.8
702.3,-177.8
703.9,-177.8
705.5,-177.8
707.1,-177.8
708.8,-177.8
710.4,-177.8
712.0,-177.8
713.7,-177.8
715.3,-177.8
717.0,-177.8
718.6,-177.8
720.3,-177.8
721.9,-177.8
723.6,-177.8
725.3,-177.8
726.9,-177.8
728.6,-177.8
730.3,-177.8
732.0,-177.8
733.7,-177.8
735.4,-177.8
737.1,-177.8
738.8,-177.8
740.5,-177.8
742.2,-177.8
743.9,-177.8
745.6,-177.8
747.3,-177.8
749.0,-177.8
750.8,-177.8
752.5,-177.8
754.2,-177.8
756.0,-177.8
757.7,-177.8
759.5,-177.8
761.2,-177.8
763.0,-177.8
764.7,-177.8
766.5,-177.8
768.2,-177.8
770.0,-177.8
771.8,-177.8
773.6,-177.8
775.4,-177.8
777.1,-177.8
778.9,-177.8
780.7,-177.8
782.5,-177.8
784.3,-177.8
786.1,-177.8
788.0,-177.8
789.8,-177.8
791.6,-177.8
793.4,-177.8
795.2,-177.8
797.1,-177.8
798.9,-177.8
800.8,-177.8
802.6,-177.8
804.5,-177.8
806.3,-177.8
808.2,-177.8
810.0,-177.8
811.9,-177.8
813.8,-177.8
815.6,-177.8
817.5,-177.8
819.4,-177.8
821.3,-177.8
823.2,-177.8
825.1,-177.8
827.0,-177.8
828.9,-177.8
830.8,-177.8
832.7,-177.8
834.6,-177.8
836.6,-177.8
838.5,-177.8
840.4,-177.8
842.4,-177.8
844.3,-177.8
846.3,-177.8
848.2,-177.8
850.2,-177.8
852.1,-177.8
854.1,-177.8
856.1,-177.8
858.0,-177.8
860.0,-177.8
862.0,-177.8
864.0,-177.8
866.0,-177.8
868.0,-177.8
870.0,-177.8
872.0,-177.8
874.0,-177.8
876.0,-177.8
878.0,-177.8
880.0,-177.8
882.1,-177.8
884.1,-177.8
886.1,-177.8
888.2,-177.8
890.2,-177.8
892.3,-177.8
894.3,-177.8
896.4,-177.8
898.5,-177.8
900.5,-177.8
902.6,-177.8
904.7,-177.8
906.8,-177.8
908.9,-177.8
911.0,-177.8
913.1,-177.8
915.2,-177.8
917.3,-177.8
919.4,-177.8
921.5,-177.8
923.6,-177.8
925.8,-177.8
927.9,-177.8
930.0,-177.8
932.2,-177.8
934.3,-177.8
936.5,-177.8
938.6,-177.8
940.8,-177.8
943.0,-177.8
945.1,-177.8
947.3,-177.8
949.5,-177.8
951.7,-177.8
953.9,-177.8
956.1,-177.8
958.3,-177.8
960.5,-177.8
962.7,-177.8
964.9,-177.8
967.2,-177.8
969.4,-177.8
971.6,-177.8
973.9,-177.8
976.1,-177.8
978.4,-177.8
980.6,-177.8
982.9,-177.8
985.1,-177.8
987.4,-177.8
989.7,-177.8
992.0,-177.8
994.3,-177.8
996.6,-177.8
998.8,-177.8
1001.2,-177.8
1003.5,-177.8
1005.8,-177.8
1008.1,-177.8
1010.4,-177.8
1012.7,-177.8
1015.1,-177.8
1017.4,-177.8
1019.8,-177.8
1022.1,-177.8
1024.5,-177.8
1026.8,-177.8
1029.2,-177.8
1031.6,-177.8
1034.0,-177.8
1036.3,-177.8
1038.7,-177.8
1041.1,-177.8
1043.5,-177.8
1045.9,-177.8
1048.3,-177.8
1050.8,-177.8
1053.2,-177.8
1055.6,-177.8
1058.0,-177.8
1060.5,-177.8
1062.9,-177.8
1065.4,-177.8
1067.8,-177.8
1070.3,-177.8
1072.8,-177.8
1075.2,-177.8
1077.7,-177.8
1080.2,-177.8
1082.7,-177.8
1085.2,-177.8
1087.7,-177.8
1090.2,-177.8
1092.7,-177.8
1095.2,-177.8
1097.7,-177.8
1100.3,-177.8
1102.8,-177.8
1105.4,-177.8
1107.9,-177.8
1110.5,-177.8
1113.0,-177.8
1115.6,-177.8
1118.1,-177.8
1120.7,-177.8
1123.3,-177.8
1125.9,-177.8
1128.5,-177.8
1131.1,-177.8
1133.7,-177.8
1136.3,-177.8
1138.9,-177.8
1141.6,-177.8
1144.2,-177.8
1146.8,-177.8
1149.5,-177.8
1152.1,-177.8
1154.8,-177.8
1157.4,-177.8
1160.1,-177.8
1162.8,-177.8
1165.5,-177.8
1168.2,-177.8
1170.8,-177.8
1173.5,-177.8
1176.3,-177.8
1179.0,-177.8
1181.7,-177.8
1184.4,-177.8
1187.1,-177.8
1189.9,-177.8
1192.6,-177.8
1195.4,-177.8
1198.1,-177.8
1200.9,-177.8
1203.6,-177.8
1206.4,-177.8
1209.2,-177.8
1212.0,-177.8
1214.8,-177.8
1217.6,-177.8
1220.4,-177.8
1223.2,-177.8
1226.0,-177.8
1228.9,-177.8
1231.7,-177.8
1234.5,-177.8
1237.4,-177.8
1240.2,-177.8
1243.1,-177.8
1245.9,-177.8
1248.8,-177.8
1251.7,-177.8
1254.6,-177.8
1257.5,-177.8
1260.4,-177.8
1263.3,-177.8
1266.2,-177.8
1269.1,-177.8
1272.0,-177.8
1275.0,-177.8
1277.9,-177.8
1280.9,-177.8
1283.8,-177.8
1286.8,-177.8
1289.7,-177.8
1292.7,-177.8
1295.7,-177.8
1298.7,-177.8
1301.7,-177.8
1304.7,-177.8
1307.7,-177.8
1310.7,-177.8
1313.7,-177.8
1316.7,-177.8
1319.8,-177.8
1322.8,-177.8
1325.9,-177.8
1328.9,-177.8
1332.0,-177.8
1335.1,-177.8
1338.1,-177.8
1341.2,-177.8
1344.3,-177.8
1347.4,-177.8
1350.5,-177.8
1353.6,-177.8
1356.8,-177.8
1359.9,-177.8
1363.0,-177.8
1366.2,-177.8
1369.3,-177.8
1372.5,-177.8
1375.6,-177.8
1378.8,-177.8
1382.0,-177.8
1385.2,-177.8
1388.4,-177.8
1391.6,-177.8
1394.8,-177.8
1398.0,-177.8
1401.2,-177.8
1404.4,-177.8
1407.7,-177.8
1410.9,-177.8
1414.2,-177.8
1417.4,-177.8
1420.7,-177.8
1424.0,-177.8
1427.2,-177.8
1430.5,-177.8
1433.8,-177.8
1437.1,-177.8
1440.5,-177.8
1443.8,-177.8
1447.1,-177.8
1450.4,-177.8
1453.8,-177.8
1457.1,-177.8
1460.5,-177.8
1463.9,-177.8
1467.2,-177.8
1470.6,-177.8
1474.0,-177.8
1477.4,-177.8
1480.8,-177.8
1484.2,-177.8
1487.6,-177.8
1491.1,-177.8
1494.5,-177.8
1498.0,-177.8
1501.4,-177.8
1504.9,-177.8
1508.3,-177.8
1511.8,-177.8
1515.3,-177.8
1518.8,-177.8
1522.3,-177.8
1525.8,-177.8
1529.3,-177.8
1532.9,-177.8
1536.4,-177.8
1539.9,-177.8
1543.5,-177.8
1547.0,-177.8
1550.6,-177.8
1554.2,-177.8
1557.8,-177.8
1561.3,-177.8
1564.9,-177.8
1568.6,-177.8
1572.2,-177.8
1575.8,-177.8
1579.4,-177.8
1583.1,-177.7
1586.7,-177.7
1590.4,-177.7
1594.0,-177.7
1597.7,-177.7
1601.4,-177.7
1605.1,-177.7
1608.8,-177.7
1612.5,-177.7
1616.2,-177.7
1619.9,-177.7
1623.7,-177.7
1627.4,-177.7
1631.2,-177.7
1634.9,-177.7
1638.7,-177.7
1642.5,-177.7
1646.3,-177.7
1650.1,-177.7
1653.9,-177.7
1657.7,-177.7
1661.5,-177.7
1665.3,-177.7
1669.2,-177.7
1673.0,-177.7
1676.9,-177.7
1680.7,-177.7
1684.6,-177.7
1688.5,-177.7
1692.4,-177.7
1696.3,-177.7
1700.2,-177.7
1704.1,-177.7
1708.0,-177.7
1712.0,-177.7
1715.9,-177.7
1719.9,-177.7
1723.9,-177.7
1727.8,-177.7
1731.8,-177.7
1735.8,-177.7
1739.8,-177.7
1743.8,-177.7
1747.8,-177.7
1751.9,-177.7
1755.9,-177.7
1759.9,-177.7
1764.0,-177.7
1768.1,-177.7
1772.1,-177.7
1776.2,-177.7
1780.3,-177.7
1784.4,-177.7
1788.5,-177.7
1792.7,-177.7
1796.8,-177.7
1800.9,-177.7
1805.1,-177.7
1809.3,-177.7
1813.4,-177.7
1817.6,-177.7
1821.8,-177.7
1826.0,-177.7
1830.2,-177.7
1834.4,-177.7
1838.7,-177.7
1842.9,-177.7
1847.1,-177.7
1851.4,-177.7
1855.7,-177.7
1859.9,-177.7
1864.2,-177.7
1868.5,-177.7
1872.8,-177.7
1877.2,-177.7
1881.5,-177.7
1885.8,-177.7
1890.2,-177.7
1894.5,-177.7
1898.9,-177.7
1903.3,-177.7
1907.7,-177.7
1912.1,-177.7
1916.5,-177.7
1920.9,-177.7
1925.3,-177.7
1929.7,-177.7
1934.2,-177.7
1938.7,-177.7
1943.1,-177.7
1947.6,-177.7
1952.1,-177.7
1956.6,-177.7
1961.1,-177.7
1965.6,-177.7
1970.2,-177.7
1974.7,-177.7
1979.2,-177.7
1983.8,-177.7
1988.4,-177.7
1993.0,-177.7
1997.6,-177.7
2002.2,-177.7
2006.8,-177.7
2011.4,-177.7
2016.0,-177.7
2020.7,-177.7
2025.3,-177.7
2030.0,-177.7
2034.7,-177.7
2039.4,-177.7
2044.1,-177.7
2048.8,-177.7
2053.5,-177.7
2058.3,-177.7
2063.0,-177.7
2067.8,-177.7
2072.5,-177.7
2077.3,-177.7
2082.1,-177.7
2086.9,-177.7
2091.7,-177.7
2096.5,-177.7
2101.4,-177.7
2106.2,-177.7
2111.1,-177.7
2115.9,-177.7
2120.8,-177.7
2125.7,-177.7
2130.6,-177.7
2135.5,-177.7
2140.4,-177.7
2145.4,-177.7
2150.3,-177.7
2155.3,-177.7
2160.2,-177.7
2165.2,-177.7
2170.2,-177.7
2175.2,-177.7
2180.2,-177.7
2185.2,-177.7
2190.3,-177.7
2195.3,-177.7
2200.4,-177.7
2205.5,-177.7
2210.5,-177.7
2215.6,-177.7
2220.8,-177.7
2225.9,-177.7
2231.0,-177.7
2236.1,-177.7
2241.3,-177.7
2246.5,-177.7
2251.6,-177.7
2256.8,-177.7
2262.0,-177.7
2267.3,-177.7
2272.5,-177.7
2277.7,-177.7
2283.0,-177.7
2288.2,-177.7
2293.5,-177.7
2298.8,-177.7
2304.1,-177.7
2309.4,-177.7
2314.7,-177.7
2320.1,-177.7
2325.4,-177.7
2330.8,-177.7
2336.1,-177.7
2341.5,-177.7
2346.9,-177.7
2352.3,-177.7
2357.8,-177.7
2363.2,-177.7
2368.6,-177.7
2374.1,-177.7
2379.6,-177.7
2385.1,-177.7
2390.6,-177.7
2396.1,-177.7
2401.6,-177.7
2407.1,-177.7
2412.7,-177.7
2418.2,-177.7
2423.8,-177.7
2429.4,-177.7
2435.0,-177.7
2440.6,-177.7
2446.2,-177.7
2451.9,-177.7
2457.5,-177.7
2463.2,-177.7
2468.9,-177.6
2474.6,-177.6
2480.3,-177.6
2486.0,-177.6
2491.7,-177.6
2497.5,-177.6
2503.2,-177.6
2509.0,-177.6
2514.8,-177.6
2520.6,-177.6
2526.4,-177.6
2532.2,-177.6
2538.0,-177.6
2543.9,-177.6
2549.8,-177.6
2555.6,-177.6
2561.5,-177.6
2567.4,-177.6
2573.4,-177.6
2579.3,-177.6
2585.2,-177.6
2591.2,-177.6
2597.2,-177.6
2603.2,-177.6
2609.2,-177.6
2615.2,-177.6
2621.2,-177.6
2627.2,-177.6
2633.3,-177.6
2639.4,-177.6
2645.5,-177.6
2651.6,-177.6
2657.7,-177.6
2663.8,-177.6
2669.9,-177.6
2676.1,-177.6
2682.3,-177.6
2688.4,-177.6
2694.6,-177.6
2700.8,-177.6
2707.1,-177.6
2713.3,-177.6
2719.6,-177.6
2725.8,-177.6
2732.1,-177.6
2738.4,-177.6
2744.7,-177.6
2751.1,-177.6
2757.4,-177.6
2763.8,-177.6
2770.1,-177.6
2776.5,-177.6
2782.9,-177.6
2789.3,-177.6
2795.8,-177.6
2802.2,-177.6
2808.7,-177.6
2815.1,-177.6
2821.6,-177.6
2828.1,-177.6
2834.7,-177.6
2841.2,-177.6
2847.7,-177.6
2854.3,-177.6
2860.9,-177.6
2867.5,-177.6
2874.1,-177.6
2880.7,-177.6
2887.4,-177.6
2894.0,-177.6
2900.7,-177.6
2907.4,-177.6
2914.1,-177.6
2920.8,-177.6
2927.5,-177.6
2934.3,-177.6
2941.0,-177.6
2947.8,-177.6
2954.6,-177.6
2961.4,-177.6
2968.2,-177.6
2975.1,-177.6
2981.9,-177.6
2988.8,-177.6
2995.7,-177.6
3002.6,-177.6
3009.5,-177.6
3016.5,-177.6
3023.4,-177.6
3030.4,-177.6
3037.4,-177.6
3044.4,-177.6
3051.4,-177.6
3058.4,-177.6
3065.5,-177.6
3072.6,-177.6
3079.6,-177.6
3086.7,-177.6
3093.9,-177.6
3101.0,-177.6
3108.1,-177.6
3115.3,-177.6
3122.5,-177.6
3129.7,-177.6
3136.9,-177.6
3144.1,-177.6
3151.4,-177.6
3158.6,-177.6
3165.9,-177.6
3173.2,-177.6
3180.5,-177.6
3187.9,-177.6
3195.2,-177.6
3202.6,-177.6
3210.0,-177.6
3217.4,-177.6
3224.8,-177.6
3232.2,-177.6
3239.7,-177.6
3247.1,-177.6
3254.6,-177.6
3262.1,-177.6
3269.6,-177.6
3277.2,-177.6
